pred,true,score
fzimstjn,fmvmfthn,4
suiaveib,suiaveib,8
mgvwmloh,zgvwmloh,7
ymudulik,lmhdulik,6
jslsmuhe,wfysmuhe,5
zsmzrdny,zsmzrdny,8
dmozkwnh,dmozkwnh,8
oxrzvfse,okrzvfse,7
rvxvdwfu,evxvdwfu,7
olqbrozj,blqbrozj,7
xeftyjgo,xeftyjgo,8
lnjkimwa,lnwkimwa,7
nqhuvobb,ndhuiobb,6
cexuzktt,crxuzktt,7
izlekjos,imlekjos,7
deflhxfu,qrflhxfu,6
xwfhfpgv,xwfhfpgv,8
hmxbcrkx,umxbcrkx,7
iefsysew,vrfsysew,6
skcexqqg,sxcexqqg,7
qrtcsmfc,detcsmfc,6
zxqyuwbv,zxdyuwbv,7
vgrsjoik,itrsjoik,6
mwqhkbyl,mwdhkbyl,7
spgaeyah,fctaeyah,5
iqhfjaxc,vqhfjaxc,7
gxebfmce,txebfmce,7
oazqrczs,oazqrczs,8
iqgcfklg,iqgcfklg,8
jxgebfrh,wxgebfrh,7
gcqdywbr,tcqdywbr,7
vbqrudca,voqrudca,7
gvbebrnb,gvbebrnb,8
dbjantbj,qbjantbj,7
qxwepjrj,qxwepjrj,8
uoeoebga,hbeoebga,6
kippzeog,kippzeog,8
mkldrudt,mkldrudt,8
sbzjkpxe,fbzjkpxe,7
yyoiccrk,lyoiccrk,7
btgogxwi,oggogxwi,6
nxmyfwha,nxmyfwha,8
dnhginnb,qahginnb,6
kmodfvpm,kzodfvpm,7
gwmgzjgj,tjmgzjgj,6
rfnqjvgi,rsnqjvgi,7
tttztgoc,tttztgoc,8
ogglmzmh,otgymzmh,6
ndfapklb,adfapklb,7
yttltcto,yttltcto,8
pdiymmun,cdiymmun,7
ugixosls,ugixosls,8
mxvmzejj,mximzejj,7
fjjoylra,sjjoylra,7
jnvuzxwu,wnvuzxwu,7
smerkkeg,szerkkeg,7
cnliwzki,caliwzki,7
yxlnxuut,yxynxuut,7
swexwqin,swexwqin,8
bsjfzlxa,bswfzlxa,7
gczuhtjv,gpzuhtjv,7
dgdgjqzl,dgdgjqzl,8
huclzywy,hhclzywy,7
ibnhisoc,ibnhisoc,8
ukgqbfra,hxgqbfra,6
kaqntdhf,kaqntdhf,8
momkqstn,momkqstn,8
kfwwdhqw,kfjwdhqw,7
bchimezn,ochimezn,7
ldntvbly,lqntvbly,7
adxelzus,nqxelzus,6
plcqcloc,plcqcloc,8
iqvlddph,iqilddph,7
xycdikpz,xypdikpz,7
fuwgomys,sujgomys,6
lbtbzcrf,lbtbzcrf,8
